# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 17:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/standata-5a18189ce07.json
# init = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/init-5a185cf04ea5_1.json
# random
#   seed = 512803685
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031256-1-2323f2.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031256-1-4ec710.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 4.01176e-05
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-87.9571,0.972976,4.01176e-05,10,1023,0,90.5022,11.9691,5.09274,0.221207,1.09181,7.50165,4.75907,1,0.442025,0,0.897003,-0.829539,0.886508
-88.4767,0.7038,4.01176e-05,10,1023,0,94.4157,11.9758,5.08694,0.221291,1.08549,7.58028,4.67875,1,0.449416,0,0.893322,-0.823677,0.887148
-88.1285,0.947861,4.01176e-05,10,1023,0,94.3808,11.9696,5.08712,0.228559,1.0404,7.63174,4.5884,1,0.442103,0,0.896964,-0.850467,0.895003
-88.3946,0.986392,4.01176e-05,10,1023,0,91.6021,11.9666,5.06931,0.234565,1.03642,7.85327,4.50503,1,0.449549,0,0.893256,-0.868763,0.893494
-87.6593,0.984313,4.01176e-05,10,1023,0,89.6938,11.9865,5.07617,0.236209,1.07251,7.54746,4.51209,1,0.447809,0,0.894129,-0.892564,0.893974
-87.8018,0.581366,4.01176e-05,10,1023,0,92.0538,11.985,5.07806,0.238502,1.05896,7.49778,4.47488,1,0.470702,0,0.882292,-0.873292,0.893349
-88.4619,0.68607,4.01176e-05,10,1023,0,97.2825,11.9807,5.07874,0.238624,1.0777,7.59598,4.48834,1,0.452956,0,0.891533,-0.856825,0.895316
-87.8082,0.931835,4.01176e-05,10,1023,0,93.9436,11.9547,5.05252,0.241619,1.08687,7.65099,4.70822,1,0.418212,0,0.908349,-0.863132,0.896099
-85.812,0.986706,4.01176e-05,10,1023,0,91.0902,11.9665,5.02463,0.245974,1.13691,7.38017,4.84302,1,0.41381,0,0.910363,-0.946154,0.899182
-85.6501,0.988743,4.01176e-05,10,1023,0,89.1726,11.9597,5.02104,0.248309,1.12422,7.44035,4.69833,1,0.443191,0,0.896427,-0.961703,0.899504
-86.6691,0.897755,4.01176e-05,10,1023,0,98.921,11.9307,5.02218,0.244336,1.12855,7.49013,5.03025,1,0.389142,0,0.921178,-0.873646,0.900202
-86.6141,0.91679,4.01176e-05,10,1023,0,94.4179,11.9303,5.0343,0.244081,1.12642,7.42098,5.02686,1,0.379033,0,0.925383,-0.88397,0.898427
-86.6721,0.977598,4.01176e-05,10,1023,0,91.4525,11.9111,5.02084,0.252299,1.13972,7.46117,5.06185,1,0.388421,0,0.921482,-0.87142,0.898641
-86.118,0.679937,4.01176e-05,10,1023,0,91.8621,11.9106,5.01819,0.254385,1.14719,7.36744,5.08852,1,0.405444,0,0.91412,-0.879741,0.899955
-87.6077,0.48507,4.01176e-05,10,1023,0,93.9156,11.9187,5.016,0.235564,1.13439,7.38628,5.07937,1,0.442538,0,0.89675,-0.880434,0.903423
-86.2883,0.956904,4.01176e-05,10,1023,0,90.1125,11.9129,5.01845,0.230814,1.14195,7.10813,5.05652,1,0.447134,0,0.894467,-0.93939,0.904575
-86.011,0.851083,4.01176e-05,10,1023,0,92.4178,11.9,5.0162,0.244225,1.16918,7.13039,4.95325,1,0.472162,0,0.881512,-0.985186,0.905429
-84.9542,0.996945,4.01176e-05,10,1023,0,91.2158,11.9268,5.00026,0.242343,1.18481,7.26987,5.06546,1,0.455612,0,0.890179,-1.02853,0.905075
-85.1935,0.910051,4.01176e-05,10,1023,0,88.4535,11.9384,4.97941,0.245027,1.16613,7.37873,5.16244,1,0.472811,0,0.881164,-1.02145,0.902473
-86.4145,0.987069,4.01176e-05,10,1023,0,90.648,11.9484,4.97537,0.242555,1.14367,7.6918,5.14879,1,0.470255,0,0.882531,-0.968828,0.902298
-86.2543,0.91906,4.01176e-05,10,1023,0,92.0922,11.9586,4.98342,0.231628,1.11815,7.67122,5.2283,1,0.469778,0,0.882785,-0.951584,0.90167
-86.5812,0.764317,4.01176e-05,10,1023,0,87.9355,11.9533,4.98431,0.230712,1.11196,7.69783,5.20401,1,0.475867,0,0.879517,-0.941849,0.90108
-86.3069,0.742488,4.01176e-05,10,1023,0,89.3161,11.9494,4.97729,0.227826,1.12421,7.65221,5.2346,1,0.480578,0,0.876952,-0.967298,0.900731
-85.8514,0.554373,4.01176e-05,10,1023,0,94.5277,11.9307,4.9756,0.229905,1.12573,7.67416,5.26597,1,0.46669,0,0.884421,-0.97564,0.900959
-85.8188,0.46656,4.01176e-05,10,1023,0,90.1413,11.9235,4.97983,0.231842,1.11094,7.55568,5.31578,1,0.474545,0,0.880231,-0.989887,0.898506
-85.9077,0.95141,4.01176e-05,10,1023,0,88.5139,11.9274,4.98723,0.230285,1.10932,7.54782,5.32265,1,0.472479,0,0.881342,-0.980681,0.89908
-86.1003,0.833771,4.01176e-05,10,1023,0,88.5099,11.9535,4.97664,0.229421,1.10469,7.62375,5.30711,1,0.481789,0,0.876287,-0.974991,0.901521
-86.7113,0.630888,4.01176e-05,10,1023,0,93.6933,12.0102,5.02528,0.214259,1.15841,7.76955,5.39992,1,0.496164,0,0.868229,-1.00826,0.903153
-86.2226,0.990625,4.01176e-05,10,1023,0,90.7985,11.988,5.01927,0.205362,1.13286,7.78587,5.53231,1,0.473215,0,0.880947,-0.985899,0.899856
# 
#  Elapsed Time: 148.595 seconds (Warm-up)
#                171.541 seconds (Sampling)
#                320.136 seconds (Total)
# 
