# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 18:05:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/standata-5a1868a04b5e.json
# init = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/init-5a1853e2378d_1.json
# random
#   seed = 1922468731
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031305-1-709b6c.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031305-1-198964.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 3.1373e-07
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-1037.11,0.600075,3.1373e-07,10,1023,0,1041.52,13.9806,3.84701,0.355737,0.741656,2.60439,1.71724,1,0.583823,0,0.811881,-0.0287464,0.899114
-1036.88,0.587712,3.1373e-07,10,1023,0,1041.18,13.9806,3.84705,0.355797,0.741587,2.60476,1.71746,1,0.583842,0,0.811867,-0.0287679,0.899119
-1037.31,0.993889,3.1373e-07,10,1023,0,1040.8,13.9807,3.84718,0.355813,0.741604,2.60487,1.71759,1,0.583874,0,0.811845,-0.0287881,0.899111
-1036.61,0.999999,3.1373e-07,10,1023,0,1039.73,13.9805,3.84712,0.355693,0.74162,2.6049,1.71781,1,0.58384,0,0.811868,-0.0289637,0.899092
-1036.38,0.596012,3.1373e-07,10,1023,0,1039.77,13.9807,3.8473,0.355734,0.741625,2.60502,1.71818,1,0.583775,0,0.811916,-0.0289603,0.8991
-1036.05,0.877475,3.1373e-07,10,1023,0,1040.21,13.9809,3.84733,0.355756,0.741567,2.60564,1.71847,1,0.583876,0,0.811843,-0.0286175,0.899077
-1036.01,0.41001,3.1373e-07,10,1023,0,1044.33,13.9809,3.84746,0.355786,0.741564,2.6057,1.71852,1,0.583843,0,0.811867,-0.0285978,0.899082
-1036.61,0.796585,3.1373e-07,10,1023,0,1038.82,13.9812,3.84738,0.355797,0.741619,2.60606,1.71883,1,0.583907,0,0.811821,-0.0286252,0.899062
-1036.7,0.999981,3.1373e-07,10,1023,0,1040.15,13.9811,3.84756,0.355782,0.741692,2.60568,1.71885,1,0.583891,0,0.811832,-0.0285488,0.899077
-1036.97,0.999999,3.1373e-07,10,1023,0,1039.84,13.9811,3.8476,0.355836,0.741916,2.60471,1.71879,1,0.583791,0,0.811904,-0.0286395,0.899092
-1036.27,0.999932,3.1373e-07,10,1023,0,1038.09,13.9811,3.8476,0.355825,0.741889,2.60472,1.71882,1,0.583803,0,0.811896,-0.0286362,0.89909
-1036.07,0.605718,3.1373e-07,10,1023,0,1041.84,13.9811,3.84789,0.355754,0.742211,2.60499,1.71888,1,0.583735,0,0.811945,-0.0287078,0.899072
-1038.12,0.999993,3.1373e-07,10,1023,0,1040.13,13.9812,3.8479,0.355738,0.742217,2.60476,1.7188,1,0.58369,0,0.811977,-0.0286971,0.899069
-1037.17,1,3.1373e-07,10,1023,0,1042.22,13.981,3.84774,0.355715,0.742486,2.60545,1.71842,1,0.583631,0,0.812019,-0.0284797,0.899067
-1037.05,0.451071,3.1373e-07,10,1023,0,1040.67,13.9809,3.84795,0.355757,0.742477,2.60543,1.71862,1,0.583709,0,0.811963,-0.0283363,0.89908
-1036.93,0.441904,3.1373e-07,10,1023,0,1041.34,13.981,3.84793,0.355773,0.742335,2.6061,1.71862,1,0.58358,0,0.812055,-0.0284127,0.899088
-1035.38,0.999962,3.1373e-07,10,1023,0,1039.75,13.981,3.84808,0.355707,0.742264,2.60661,1.71904,1,0.583358,0,0.812215,-0.0284577,0.899118
-1035.67,0.999938,3.1373e-07,10,1023,0,1043.42,13.9811,3.8484,0.355782,0.742092,2.60603,1.71893,1,0.583365,0,0.81221,-0.0284631,0.899129
-1035.56,0.58893,3.1373e-07,10,1023,0,1038.26,13.981,3.84838,0.355755,0.741996,2.60618,1.71906,1,0.583422,0,0.812169,-0.0284801,0.899103
-1035.46,0.573342,3.1373e-07,10,1023,0,1041.36,13.9808,3.84803,0.355609,0.742089,2.6058,1.71924,1,0.583522,0,0.812097,-0.0288823,0.899118
-1035.19,0.594531,3.1373e-07,10,1023,0,1037.57,13.981,3.84783,0.355593,0.742122,2.60675,1.71919,1,0.58353,0,0.812092,-0.0289166,0.899132
-1035.06,0.594473,3.1373e-07,10,1023,0,1036.93,13.9811,3.84766,0.355602,0.74211,2.60739,1.71915,1,0.583451,0,0.812148,-0.02882,0.89912
-1035.84,0.595556,3.1373e-07,10,1023,0,1038.98,13.981,3.84758,0.355572,0.742027,2.60772,1.71872,1,0.583354,0,0.812218,-0.028669,0.899121
-1035.54,0.999986,3.1373e-07,10,1023,0,1038.24,13.9809,3.84765,0.355521,0.741982,2.60665,1.71888,1,0.583414,0,0.812175,-0.0284824,0.899131
-1035.61,0.999999,3.1373e-07,10,1023,0,1038.57,13.9805,3.84753,0.355584,0.741986,2.60636,1.71889,1,0.583445,0,0.812153,-0.0283871,0.899135
-1035.95,0.602313,3.1373e-07,10,1023,0,1042.61,13.9803,3.84732,0.355683,0.741846,2.60571,1.71874,1,0.583349,0,0.812222,-0.0285105,0.899144
# 
#  Elapsed Time: 1206.81 seconds (Warm-up)
#                1143.13 seconds (Sampling)
#                2349.93 seconds (Total)
# 
